timestamp,power
1681837800,70
1681838100,40
1681838400,30
1681838700,20
1681839000,20
1681839300,20
1681839600,20
1681839900,20
1681840200,20
1681840500,20
1681840800,20
1681841100,20
1681841400,20
1681841700,20
1681842000,20
1681843200,0
1681875300,20
1681875600,20
1681875900,20
1681876200,20
1681876500,30
1681876800,40
1681877100,90
1681877400,100
1681877700,110
1681878000,190
1681878300,250
1681878600,190
1681878900,190
1681879200,220
1681879500,280
1681879800,320
1681880100,320
1681880400,280
1681880700,270
1681881000,240
1681881300,250
1681881600,280
1681881900,280
1681882200,380
1681882500,370
1681882800,490
1681883100,500
1681883400,500
1681883700,470
1681884000,450
1681884300,430
1681884600,440
1681884900,420
1681885200,420
1681885500,660
1681885800,630
1681886100,610
1681886400,710
1681886700,320
1681887000,340
1681887300,380
1681887600,550
1681887900,870
1681888200,760
1681888500,700
1681888800,1090
1681889100,1010
1681889400,760
1681889700,840
1681890000,990
1681890300,670
1681890600,960
1681890900,790
1681891200,810
1681891500,810
1681891800,790
1681892100,1390
1681892400,800
1681892700,840
1681893000,810
1681893300,840
1681893600,780
1681893900,770
1681894200,670
1681894500,620
1681894800,880
1681895100,1470
1681895400,1750
1681895700,1360
1681896000,1570
1681896300,2160
1681896600,1850
1681896900,1110
1681897200,760
1681897500,750
1681897800,950
1681898100,1730
1681898400,1930
1681898700,1560
1681899000,1920
1681899300,1350
1681899600,1900
1681899900,2400
1681900200,1630
1681900500,1170
1681900800,1190
1681901100,1390
1681901400,1490
1681901700,1520
1681902000,1700
1681902300,1690
1681902600,1900
1681902900,2360
1681903200,1990
1681903500,2100
1681903800,1550
1681904100,1290
1681904400,1870
1681904700,2580
1681905000,1690
1681905300,1830
1681905600,2110
1681905900,2290
1681906200,2350
1681906500,2270
1681906800,1910
1681907100,2090
1681907400,2340
1681907700,3430
1681908000,2760
1681908300,3880
1681908600,3570
1681908900,2900
1681909200,2520
1681909500,2520
1681909800,2600
1681910100,2980
1681910400,3040
1681910700,3020
1681911000,2410
1681911300,1180
1681911600,620
1681911900,740
1681912200,880
1681912500,940
1681912800,470
1681913100,140
1681913400,190
1681913700,400
1681914000,480
1681914300,760
1681914600,800
1681914900,830
1681915200,720
1681915500,630
1681915800,550
1681916100,570
1681916400,580
1681916700,570
1681917000,600
1681917300,570
1681917600,550
1681917900,600
1681918200,610
1681918500,570
1681918800,590
1681919100,610
1681919400,610
1681919700,520
1681920000,340
1681920300,290
1681920600,250
1681920900,260
1681921200,250
1681921500,220
1681921800,150
1681922100,140
1681922400,140
1681922700,110
1681923000,100
1681923300,100
1681923600,90
1681923900,70
1681924200,50
1681924500,60
1681924800,50
1681925100,20
1681925400,20
1681925700,20
1681926000,20
1681926300,20
1681926600,20
1681926900,20
1681927200,20
1681927500,20
1681927800,20
1681928100,20
1681928400,20
1681929600,0
1681962300,20
1681962600,30
1681962900,50
1681963200,110
1681963500,210
1681963800,280
1681964100,270
1681964400,280
1681964700,310
1681965000,330
1681965300,380
1681965600,480
1681965900,400
1681966200,430
1681966500,570
1681966800,640
1681967100,1030
1681967400,1160
1681967700,1320
1681968000,1470
1681968300,1670
1681968600,2580
1681968900,2800
1681969200,2090
1681969500,1900
1681969800,2580
1681970100,2760
1681970400,3390
1681970700,4130
1681971000,4460
1681971300,2310
1681971600,2610
1681971900,4360
1681972200,4130
1681972500,3440
1681972800,3840
1681973100,5550
1681973400,5150
1681973700,2320
1681974000,5230
1681974300,5110
1681974600,5350
1681974900,5530
1681975200,5710
1681975500,6090
1681975800,5910
1681976100,3610
1681976400,6600
1681976700,6150
1681977000,6060
1681977300,6120
1681977600,6330
1681977900,4530
1681978200,6760
1681978500,6660
1681978800,6570
1681979100,6510
1681979400,6560
1681979700,6760
1681980000,6720
1681980300,6800
1681980600,6810
1681980900,6830
1681981200,6860
1681981500,7060
1681981800,7050
1681982100,7020
1681982400,7030
1681982700,7050
1681983000,7120
1681983300,7240
1681983600,7510
1681983900,7730
1681984200,6910
1681984500,7290
1681984800,7140
1681985100,7430
1681985400,1640
1681985700,7260
1681986000,7370
1681986300,7510
1681986600,7460
1681986900,7070
1681987200,1640
1681987500,1890
1681987800,7300
1681988100,7440
1681988400,1680
1681988700,7310
1681989000,5690
1681989300,2040
1681989600,2970
1681989900,1770
1681990200,2240
1681990500,2130
1681990800,6810
1681991100,6450
1681991400,6310
1681991700,6350
1681992000,6620
1681992300,6800
1681992600,2230
1681992900,1480
1681993200,1180
1681993500,6110
1681993800,5880
1681994100,1990
1681994400,1800
1681994700,5910
1681995000,1890
1681995300,1770
1681995600,5390
1681995900,5300
1681996200,3260
1681996500,5220
1681996800,1310
1681997100,1140
1681997400,1100
1681997700,1350
1681998000,1100
1681998300,3900
1681998600,3560
1681998900,4250
1681999200,3900
1681999500,880
1681999800,850
1682000100,850
1682000400,910
1682000700,1230
1682001000,2330
1682001300,1790
1682001600,1520
1682001900,710
1682002200,610
1682002500,570
1682002800,700
1682003100,1550
1682003400,1590
1682003700,1420
1682004000,1100
1682004300,930
1682004600,780
1682004900,670
1682005200,600
1682005500,550
1682005800,530
1682006100,500
1682006400,450
1682006700,430
1682007000,420
1682007300,410
1682007600,360
1682007900,320
1682008200,300
1682008500,290
1682008800,320
1682009100,290
1682009400,220
1682009700,180
1682010000,170
1682010300,170
1682010600,140
1682010900,80
1682011200,50
1682011500,30
1682011800,20
1682012100,20
1682012400,20
1682012700,20
1682013000,20
1682013300,20
1682013600,20
1682013900,20
1682014200,20
1682014500,20
1682014800,20
1682015100,20
1682016300,0
1682047500,20
1682047800,20
1682048400,110
1682049300,310
1682049600,420
1682049900,510
1682051400,1190
1682052300,1670
1682052600,1830
1682053200,2170
1682056800,4010
1682057400,4270
1682059200,4990
1682062800,6140
1682063700,6340
1682067600,6970
1682068200,7020
1682069700,7080
1682071800,7020
1682074500,6770
1682074800,6720
1682083200,4290
1682083500,4130
1682085900,3130
1682086200,3010
1682087400,2300
1682088300,1670
1682091600,660
1682096400,170
1682097300,60
1682097600,40
1682098800,20
1682100300,20
1682101800,20
1682104200,0
1682134800,100
1682136300,520
1682138700,1640
1682139900,2250
1682140500,2560
1682140800,2710
1682141100,2870
1682142600,3600
1682143500,4000
1682143800,4120
1682144100,4250
1682144400,4360
1682144700,4480
1682145000,4590
1682145300,4710
1682145600,4810
1682145900,4920
1682146200,5030
1682146500,5130
1682146800,5240
1682147100,5340
1682147400,5430
1682147700,5510
1682148000,5600
1682148300,5720
1682148600,5790
1682148900,5840
1682149200,5930
1682149500,6040
1682149800,6060
1682150100,6110
1682150400,6170
1682150700,6240
1682151000,6320
1682151300,6370
1682151600,6410
1682151900,6490
1682152200,6550
1682152500,6610
1682152800,6590
1682153100,6620
1682153400,6670
1682153700,6690
1682154000,6730
1682154300,6690
1682154600,6770
1682154900,6810
1682155200,6860
1682155500,6950
1682155800,7000
1682156100,7010
1682156400,7030
1682156700,7080
1682157000,7130
1682157300,6730
1682157600,2400
1682157900,3440
1682158200,7580
1682158500,7450
1682158800,7430
1682159100,7630
1682159400,7770
1682159700,7480
1682160000,7510
1682160300,1550
1682160600,4210
1682160900,3180
1682161200,1840
1682161500,7100
1682161800,6930
1682162100,6870
1682162400,6860
1682162700,6230
1682163000,6600
1682163300,6620
1682163600,6870
1682163900,1750
1682164200,1830
1682164500,4900
1682164800,1650
1682165100,5180
1682165400,6630
1682165700,2250
1682166000,6630
1682166300,6330
1682166600,6350
1682166900,4360
1682167200,5840
1682167500,5690
1682167800,5550
1682168100,5550
1682168400,3930
1682168700,1880
1682169000,2770
1682169300,5240
1682169600,4790
1682169900,3280
1682170200,4760
1682170500,2580
1682170800,4410
1682171100,4110
1682171400,3930
1682171700,1940
1682172000,810
1682172300,770
1682172600,780
1682172900,800
1682173200,910
1682173500,900
1682173800,880
1682174100,910
1682174400,940
1682174700,920
1682175000,890
1682175300,1060
1682175600,1640
1682175900,950
1682176200,920
1682176500,870
1682176800,820
1682177100,1030
1682177400,1140
1682177700,1000
1682178000,890
1682178300,780
1682178600,660
1682178900,630
1682179200,550
1682179500,500
1682179800,480
1682180100,440
1682180400,420
1682180700,400
1682181000,360
1682181300,370
1682181600,340
1682181900,320
1682182200,310
1682182500,270
1682182800,230
1682183100,190
1682183400,150
1682183700,110
1682184000,50
1682184300,40
1682184600,20
1682184900,20
1682185200,20
1682185500,20
1682185800,20
1682186100,20
1682186400,20
1682186700,20
1682187000,20
1682187300,20
1682187600,20
1682187900,20
1682189100,0
1682219700,20
1682220000,20
1682220300,20
1682220600,20
1682220900,50
1682221200,100
1682221500,150
1682221800,220
1682222100,300
1682222400,500
1682222700,500
1682223000,720
1682223300,720
1682223600,850
1682223900,980
1682224200,1120
1682224500,1260
1682224800,1550
1682225100,1550
1682225400,1690
1682225700,1840
1682226000,2150
1682226300,2310
1682226600,2310
1682226900,2450
1682227200,2620
1682227500,2770
1682227800,3080
1682228100,3220
1682228400,3380
1682228700,3380
1682229000,3520
1682229300,3660
1682229600,3930
1682229900,4060
1682230200,4180
1682230500,4310
1682230800,4450
1682231100,4450
1682231400,4600
1682231700,4810
1682232000,4810
1682232300,4940
1682232600,5030
1682232900,5240
1682233200,5240
1682233500,5460
1682233800,5460
1682234100,5580
1682234400,5660
1682234700,5840
1682235000,5840
1682235300,5950
1682235600,6040
1682235900,6080
1682236200,6180
1682236500,6220
1682236800,6330
1682237100,6420
1682237400,6450
1682237700,6600
1682238000,6600
1682238300,6560
1682238600,6610
1682238900,6710
1682239200,6780
1682239500,6820
1682239800,6890
1682240100,6930
1682240400,6980
1682240700,6980
1682241000,7080
1682241300,7050
1682241600,7050
1682241900,7070
1682242200,7090
1682242500,7050
1682242800,7080
1682243100,7080
1682243400,6930
1682243700,6930
1682244000,7100
1682244300,7100
1682244600,6990
1682244900,6990
1682245200,7030
1682245500,6950
1682245800,6940
1682246100,6940
1682246400,6830
1682246700,6750
1682247000,6800
1682247300,6760
1682247600,6750
1682247900,6550
1682248200,6550
1682248500,6530
1682248800,6500
1682249100,6430
1682249400,6350
1682249700,6350
1682250000,6200
1682250300,6140
1682250600,6080
1682250900,6080
1682251200,5970
1682251500,5940
1682251800,5770
1682252100,5770
1682252400,5650
1682252700,5580
1682253000,5510
1682253300,5260
1682253600,5260
1682253900,5190
1682254200,5010
1682254500,5010
1682254800,4780
1682255100,4650
1682255400,4520
1682255700,4520
1682256000,4400
1682256300,4140
1682256600,4140
1682256900,4010
1682257200,3900
1682257500,3780
1682257800,3640
1682258100,3530
1682258400,3380
1682258700,3250
1682259000,3090
1682259300,2940
1682259600,2790
1682259900,2640
1682260200,2460
1682260500,2170
1682260800,1930
1682261100,1770
1682261400,1640
1682261700,1530
1682262000,1290
1682262300,1190
1682262600,1090
1682262900,1090
1682263200,880
1682263500,790
1682263800,680
1682264100,680
1682264400,590
1682264700,450
1682265000,450
1682265300,360
1682265600,320
1682265900,320
1682266200,300
1682266500,280
1682266800,250
1682267100,250
1682267400,250
1682267700,230
1682268000,210
1682268300,190
1682268600,180
1682268900,160
1682269200,130
1682269500,130
1682269800,110
1682270100,90
1682270400,70
1682270700,50
1682271000,20
1682271300,20
1682271600,20
1682271900,20
1682272200,20
1682272500,20
1682272800,20
1682273100,20
1682273400,20
1682273700,20
1682274000,20
1682274300,20
1682274600,20
1682275800,0
1682306100,20
1682306400,20
1682306700,20
1682307000,20
1682307300,80
1682307600,140
1682307900,200
1682308200,280
1682308500,380
1682308800,460
1682309100,570
1682309400,650
1682309700,550
1682310000,940
1682310300,1040
1682310600,850
1682310900,1340
1682311200,1310
1682311500,800
1682311800,800
1682312100,1920
1682312400,2140
1682312700,2310
1682313000,2440
1682313300,2590
1682313600,2780
1682313900,2990
1682314200,3220
1682314500,3520
1682314800,3520
1682315100,3520
1682315400,3520
1682316600,0
1682317500,2800
1682317800,4700
1682318100,4840
1682318400,3610
1682318700,5250
1682319000,5080
1682319300,5200
1682319600,5210
1682319900,5170
1682320200,5220
1682320500,5510
1682320800,4960
1682321100,5750
1682321400,5620
1682321700,5810
1682322000,5820
1682322300,5880
1682322600,5970
1682322900,6020
1682323200,6080
1682323500,6210
1682323800,6270
1682324100,6320
1682324400,6380
1682324700,6480
1682325000,6020
1682325300,6560
1682325600,6600
1682325900,6650
1682326200,6690
1682326500,6730
1682326800,6730
1682327100,6740
1682327400,6810
1682327700,6780
1682328000,6800
1682328300,6810
1682328600,6860
1682328900,6870
1682329200,6930
1682329500,6900
1682329800,6850
1682330100,6930
1682330400,6930
1682330700,6940
1682331000,6870
1682331300,6820
1682331600,6810
1682331900,6790
1682332200,6730
1682332500,6740
1682332800,6640
1682333100,6690
1682333400,6630
1682333700,6600
1682334000,6510
1682334300,6320
1682334600,6470
1682334900,6320
1682335200,6320
1682335500,6250
1682335800,6250
1682336100,6200
1682336400,6140
1682336700,6000
1682337000,6070
1682337300,6150
1682337600,6160
1682337900,5950
1682338200,5880
1682338500,6120
1682338800,6000
1682339100,5950
1682339400,5770
1682339700,5750
1682340000,5690
1682340300,5090
1682340600,5640
1682340900,5810
1682341200,5720
1682341500,5490
1682341800,4900
1682342100,990
1682342400,4550
1682342700,2900
1682343000,4210
1682343300,1430
1682343600,3400
1682343900,1200
1682344200,1000
1682344500,3730
1682344800,3490
1682345100,3300
1682345400,3070
1682345700,2970
1682346000,2830
1682346300,2700
1682346600,2530
1682346900,2250
1682347200,2030
1682347500,1910
1682347800,1800
1682348100,1740
1682348400,1660
1682348700,1580
1682349000,1410
1682349300,1270
1682349600,1230
1682349900,1120
1682350200,860
1682350500,710
1682350800,610
1682351100,540
1682351400,450
1682351700,310
1682352000,290
1682352300,300
1682352600,300
1682352900,300
1682353200,270
1682353500,220
1682353800,200
1682354100,180
1682354400,180
1682354700,180
1682355000,150
1682355300,160
1682355600,160
1682355900,160
1682356200,140
1682356500,80
1682356800,60
1682357100,20
1682357400,20
1682357700,20
1682358000,20
1682358300,20
1682358600,20
1682358900,20
1682359200,20
1682359500,20
1682359800,20
1682360100,20
1682360400,20
1682360700,20
1682361000,20
1682362200,0
1682392500,20
1682392800,20
1682393100,20
1682393400,30
1682393700,70
1682394000,110
1682394300,130
1682394600,230
1682394900,310
1682395200,380
1682395500,440
1682395800,440
1682396100,480
1682396400,480
1682396700,430
1682397000,330
1682397300,410
1682397600,380
1682397900,250
1682398200,370
1682398500,440
1682398800,640
1682399100,640
1682399400,670
1682399700,680
1682400000,760
1682400300,1300
1682400600,1240
1682400900,720
1682401200,550
1682401500,650
1682401800,710
1682402100,710
1682402400,540
1682402700,540
1682403000,480
1682403300,570
